Drawing Number,Material,Program Number,G76 Block 1,G76 Block 2,Machine
JEFD0321500 A,303,1054-3SP,G76 P010060 Q00300 R.0005,  G76 X.3762 Z-.560 P03070 Q03070 F.05,CHNC III
JEFD0510800 A,316,1061-TTM,G76 P020060 Q0030 R.0005,  G76 X.3761 Z-.975 P0307 Q0307 F.05,TWIN TURN
JEFD0510800 A,316,1062-TTS,G76 P020060 Q0030 R.0005,  G76 X.3761 Z.51 P0307 Q0307 F.05,TWIN TURN
JEFD0510800 A,316,1063-3SP,G76 P020060 Q00300 R.0005,  G76 X.3761 Z-.510 P03067 Q03067 F.05,CHNC III
JEFD0302131 F,304,1064-3SP,G76 P020060 Q00300 R.0005,  G76 X.3761 Z-.550 P03067 Q03067 F.05,CHNC III
JEFD0302131 F,304,1065-TTM,G76 P020060 Q0030 R.0005,  G76 X.3761 Z-.910 P0307 Q0307 F.05,TWIN TURN
JEFD0302131 F,304,1066-TTS,G76 P020060 Q0030 R.0005,  G76 X.3761 Z.5 P0307 Q0307 F.05,TWIN TURN
JEFD0319390 A,6AL-4V,1067-T42,G76 P010060 Q00500 R.0005,  G76 X.4782 Z.380 P03620 Q03620 F.05906,T-42
JEFD0319470 A,6AL-4V,1079-TTM,G76 P020060 Q0030 R.0005,  G76 X.3761 Z-.630 P0307 Q0307 F.05,TWIN TURN
JEFD0319470 A,6AL-4V,1080-TTS,G76 P020060 Q0030 R.0005,  G76 X.3761 Z.280 P0307 Q0307 F.05,TWIN TURN
JEFD0321600 A,6AL-4V TITANIUM,1081-3SP,G76 P010060 Q00050 R0.,  G76 X.9546 Z-.7358 P511167 Q02000 F.0833,CHNC III
JEFD0319470 A,6AL-4V,1084-3SP,G76 P020060 Q00300 R.0005,  G76 X.3823 Z-.32 P02556 Q02556 F.0417,CHNC III
JEFD0319490 A,6AL-4V TITANIUM,1085-TTM,G76 P020060 Q0030 R.0005,  G76 X.6534 Z-.700 P0307 Q0307 F.050,TWIN TURN
JEFD0319490 A,6AL-4V TITANIUM,1086-TTS,G76 P020060 Q0030 R.0005,  G76 X.6534 Z.350 P0307 Q0307 F.05,TWIN TURN
JEFD0319490 A,6AL-4V TITANIUM,1087-3SP,G76 P020060 Q00300 R.0005,  G76 X.3823 Z-.32 P02556 Q02556 F.0417,CHNC III
JEFD0302000 E,304L,2032.P-1,G76P020060Q15R.0005,  G76X.377Z-.42R0P280Q280F.05,NTY-3
JEFD0302000 E,304L,2032.P-2,G76P020060Q20R.0005,  G76X.377Z-.42R0P280Q280F.05,NTY-3
JEFD0303400 G,304,2034.P-1,G76P012059Q30R.003,  G76X.375Z-.53R0P290Q290F.05,NTY-3
JEFD0303400 G,304,2034.P-2,G76P012059Q30R.003,  G76X.375Z-.54R0P290Q290F.05,NTY-3
JEFD0302370 B,15-5PH,2370.P-1, G76 P020060 Q0030 R.0005,  G76 X.3762 Z-.410 P0307 Q0307 F.05,NTY-3
JEFD0302370 B,15-5PH,2370.P-2, G76 P020060 Q0030 R.0005,  G76 X.3762 Z-.410 P0307 Q0307 F.05,NTY-3
JEFD0302650 A,15-5PH,2650.P-1, G76 P020060 Q0025 R.0005,  G76 X.4938 Z-.420 P0341 Q0341 F.0556,NTY-3
JEFD0302650 A,15-5PH,2650.P-2, G76 P020060 Q0025 R.0005,  G76 X.4938 Z-.420 P0341 Q0341 F.0556,NTY-3
VHCD0310230 A,MP35N,4041-S206, G18G76P020060Q00070R0,  G76X0.1313Z.1P01095Q01095F0.0179, S-206
JESD0503903 A,303,4051-S206, G76P020060Q00350R0.001,  G76X0.1857Z0.310P03067Q03067F0.05, S-206
JESD0503905 A,303,4053-S206, G76P020060Q00350R0.0005,  G76X0.1857Z0.310P03067Q03067F0.05, S-206
JESD0503902 A,303,4057-S206, G76P020060Q00350R0.0005,  G76X0.1857Z0.310P03067Q03067F0.05, S-206
JHBD0200050 A,17-4PH,4063-S206, G18G76P020060Q00070R0,  G76X0.1313Z.1P01095Q01095F0.0179, S-206
VDCD0516010 B,304L,4071-S206, G76P020060Q00250R.0005,  G76X.289Z.3P01208Q01208F.0197, S-206
VXCD0301250 D,303,4079-S206, G18 G76 P020060 Q00050 R.0005,  G76 X.125 Z.150 P01353 Q01353 F.025, S-206
VHCD0506410 A,4140,4090-S206, G18 G76 P010060 Q00350 R.0005,  G76 X.6673 Z-.785 P03834 Q00800 F.0625, S-206
JEFD0304660 B,304,4660.P-1, G76 P020060 Q0020 R.0005,  G76 X.3762 Z-.410 P0307 Q0307 F.05,NTY-3
JEFD0304660 B,304,4660.P-2, G76 P020060 Q0020 R.0005,  G76 X.3762 Z-.410 P0307 Q0307 F.05,NTY-3
JEFD0302390 A,304,5000, G76P010060Q00300R0.0005,  G76X.3691Z0.435P03067Q03067F0.05,BO-326
JEFD0302390 A,304,5001, G76P010060Q00300R0.0005,  G76X.3691Z0.435P03067Q03067F0.05,BO-326
VDCD0306150 H,303,5002, G76P020060Q00150R.0005,  G76X0.375Z0.765P02255Q02255F0.0417,BO-326
DTCD0100070 B,304L,5006.NC, G18 G76 P010060 Q00200 R.0005,  G76 X.3721 Z.5075 P03067 Q03067 F.05,BO-326
